button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.295999999999999],[4.295999999999999],736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,space,4.229,,,,,,,,,,,,,,,,,,,,,,,,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,45.2,44.7,,,,,,,,,,,,,,,,,,,,,,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,,,space,12.798,,,,,,,,,,,,,,,,,,,,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,space,38.974,,,,,,,,,,,,,,,,,,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,46,35,space,19.729,20,15.925,0,0,0,0,1,101,,,,,,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,28,35,space,6.244,12,5.192,0,1,1,1,1,102,,,,,,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,50,35,space,23.644,7,2.876,,,,,,49,0,0,0,49,1,,
,,,736,56fa7c2e51c6bf000ccb2954,55,male,2022-11-22_17h01.24.035,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,30,35,space,6.056,12,2.584,,,,,,22,0,1,1,22,1,,
