button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[13.173600000381466],[13.173800000190734],241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,space,3.3933,,,,,,,,,,,,,,,,,,,,,,,,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,37.4,34.4,,,,,,,,,,,,,,,,,,,,,,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,space,16.2368,,,,,,,,,,,,,,,,,,,,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,space,7.219299999,,,,,,,,,,,,,,,,,,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,46,26,space,13.9877,52,13.4334,0,0,0,0,1,101,,,,,,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,44,26,space,6.9395,30,5.5978,0,1,1,1,1,102,,,,,,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,45,26,space,8.3103,1,7.9358,,,,,,33,0,0,0,33,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,41,26,space,4.449400001,16,4.059599999,,,,,,78,0,1,1,78,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,27,26,space,3.9995,41,3.4213,,,,,,55,0,2,2,55,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,29,26,space,4.9255,10,4.6663,,,,,,11,0,3,3,11,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,37,26,space,4.4588,36,4.2615,,,,,,46,0,4,4,46,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,36,26,space,4.0743,7,3.9128,,,,,,17,0,5,5,17,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,28,26,space,1.8997,1,1.6827,,,,,,79,0,6,6,79,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,34,26,space,2.4874,1,2.2835,,,,,,59,0,7,7,59,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,32,26,space,5.245900001,21,4.7365,,,,,,66,0,8,8,66,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,37,26,space,1.815,1,1.6543,,,,,,21,0,9,9,21,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,37,26,space,3.318,17,3.1537,,,,,,50,0,10,10,50,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,39,26,space,4.016099999,34,3.8505,,,,,,67,0,11,11,67,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,37,26,space,4.447,30,4.2672,,,,,,80,0,12,12,80,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,42,26,space,3.8792,41,3.6722,,,,,,44,0,13,13,44,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,34,26,space,2.4288,52,2.2508,,,,,,4,0,14,14,4,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,38,26,space,3.9888,29,3.1121,,,,,,51,0,15,15,51,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,46,26,space,3.4945,32,3.0838,,,,,,83,0,16,16,83,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,31,26,space,5.975400001,29,5.764099999,,,,,,73,0,17,17,73,1,,
,,,241,58da917848a0550001171f1d,29,male,2022-11-22_09h31.18.661,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,40,26,space,3.0276,37,2.865599999,,,,,,32,0,18,18,32,1,,
