button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.349100000023842],[4.349300000071526],712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,space,3.6259,,,,,,,,,,,,,,,,,,,,,,,,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,41.2,42.7,,,,,,,,,,,,,,,,,,,,,,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,space,6.4999,,,,,,,,,,,,,,,,,,,,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,space,3.6963,,,,,,,,,,,,,,,,,,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,34,11,space,10.0325,21,6.4704,0,0,0,0,1,101,,,,,,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,41,11,space,15.0175,40,14.3723,0,1,1,1,1,102,,,,,,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,41,11,space,8.3547,32,6.7175,,,,,,5,0,0,0,5,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,42,11,space,5.2863,1,4.3283,,,,,,34,0,1,1,34,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,29,11,space,10.6613,14,10.0397,,,,,,27,0,2,2,27,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,44,11,space,4.1915,1,3.0665,,,,,,56,0,3,3,56,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,45,11,space,2.4537,1,1.3904,,,,,,23,0,4,4,23,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,38,11,space,4.9073,3,3.5045,,,,,,25,0,5,5,25,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,32,11,space,8.657,15,7.7642,,,,,,50,0,6,6,50,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,39,11,space,5.913,20,4.8423,,,,,,30,0,7,7,30,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,29,11,space,7.4874,20,6.8435,,,,,,38,0,8,8,38,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,41,11,space,3.968,6,2.7977,,,,,,9,0,9,9,9,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,28,11,space,4.2646,21,2.5217,,,,,,81,0,10,10,81,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,30,11,space,6.4586,6,5.0351,,,,,,79,0,11,11,79,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,44,11,space,6.1525,24,4.2301,,,,,,83,0,12,12,83,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,43,11,space,3.6045,3,2.4554,,,,,,54,0,13,13,54,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,47,11,space,4.949,7,3.0259,,,,,,7,0,14,14,7,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,26,11,space,7.909,11,7.2351,,,,,,72,0,15,15,72,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,34,11,space,7.9982,24,6.2717,,,,,,17,0,16,16,17,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,29,11,space,3.7299,29,3.4304,,,,,,84,0,17,17,84,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,29,11,space,11.2492,21,10.6611,,,,,,40,0,18,18,40,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,40,11,space,11.9813,35,11.1555,,,,,,37,0,19,19,37,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,45,11,space,22.6276,41,21.9985,,,,,,53,0,20,20,53,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,41,11,space,5.4818,23,4.5432,,,,,,14,0,21,21,14,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,39,11,space,5.5613,12,4.8561,,,,,,21,0,22,22,21,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,41,11,space,4.1711,3,2.7383,,,,,,46,0,23,23,46,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,32,11,space,7.0304,32,5.1411,,,,,,29,0,24,24,29,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,45,11,space,8.8088,13,8.3366,,,,,,61,0,25,25,61,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,40,11,space,4.1428,17,2.631,,,,,,28,0,26,26,28,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,43,11,space,4.6534,6,3.5408,,,,,,59,0,27,27,59,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,36,11,space,7.1141,37,6.3916,,,,,,74,0,28,28,74,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,48,11,space,7.2322,25,6.2045,,,,,,78,0,29,29,78,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,33,11,space,5.0362,14,3.6488,,,,,,31,0,30,30,31,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,32,11,space,4.6984,10,3.2605,,,,,,36,0,31,31,36,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,52,11,space,8.437,40,7.4569,,,,,,13,0,32,32,13,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,42,11,space,3.6944,24,2.5113,,,,,,65,0,33,33,65,1,,
,,,712,5954d379c2547e0001511ab5,40,female,2022-11-22_16h57.02.562,onlinegloss,2022.2.3,Win32,29.99850007,,,,,,,,,43,11,space,6.4436,19,4.5575,,,,,,52,0,34,34,52,1,,
