button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.2650000000000006],[2.2650000000000006],267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,space,2.468,,,,,,,,,,,,,,,,,,,,,,,,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,40.3,40.4,,,,,,,,,,,,,,,,,,,,,,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,,,space,7.634,,,,,,,,,,,,,,,,,,,,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,space,1.019,,,,,,,,,,,,,,,,,,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,46,52,space,18.08,20,15.739,0,0,0,0,1,101,,,,,,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,28,52,space,6.118,47,5.842,0,1,1,1,1,102,,,,,,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,28,52,space,5.053,17,3.504,,,,,,59,0,0,0,59,1,,
,,,267,595b93cde11c9d0001522564,43,male,2022-11-22_09h33.03.357,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,35,52,space,3.291,19,2.274,,,,,,4,0,1,1,4,1,,
