button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.1265],[1.1265],333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,space,1.4668,,,,,,,,,,,,,,,,,,,,,,,,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,52.7,38.6,,,,,,,,,,,,,,,,,,,,,,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,space,1.6731,,,,,,,,,,,,,,,,,,,,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,space,3.6269,,,,,,,,,,,,,,,,,,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,47,10,space,21.7308,42,21.072,0,0,0,0,1,101,,,,,,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,41,10,space,12.7901,42,12.0044,0,1,1,1,1,102,,,,,,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,38,10,space,8.3127,19,5.4017,,,,,,38,0,0,0,38,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,50,10,space,9.352400001,2,8.9457,,,,,,2,0,1,1,2,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,48,10,space,9.5535,12,7.2378,,,,,,22,0,2,2,22,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,42,10,space,7.7232,17,6.5404,,,,,,39,0,3,3,39,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,29,10,space,5.4574,15,3.693400001,,,,,,46,0,4,4,46,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,36,10,space,9.8956,8,9.083900001,,,,,,82,0,5,5,82,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,33,10,space,6.5474,31,5.5511,,,,,,84,0,6,6,84,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,47,10,space,3.5584,18,2.3223,,,,,,52,0,7,7,52,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,49,10,space,3.9213,10,1.8563,,,,,,80,0,8,8,80,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,36,10,space,5.3959,6,4.3024,,,,,,42,0,9,9,42,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,46,10,space,4.1325,2,3.5382,,,,,,62,0,10,10,62,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,28,10,space,5.8117,11,4.4661,,,,,,71,0,11,11,71,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,44,10,space,7.2184,15,6.3978,,,,,,17,0,12,12,17,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,50,10,space,3.1387,,,,,,,,35,0,13,13,35,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,31,10,space,5.0602,25,2.229,,,,,,61,0,14,14,61,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,31,10,space,3.0974,3,1.9848,,,,,,53,0,15,15,53,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,39,10,space,11.9399,22,11.7345,,,,,,23,0,16,16,23,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,44,10,space,8.003,27,7.689,,,,,,76,0,17,17,76,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,36,10,space,4.2043,2,2.7562,,,,,,7,0,18,18,7,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,30,10,space,6.6265,5,5.8643,,,,,,20,0,19,19,20,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,41,10,space,2.594,5,1.6132,,,,,,27,0,20,20,27,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,45,10,space,2.8985,5,1.2003,,,,,,9,0,21,21,9,1,,
,,,333,59988b453c366e00019de0a4,e.g. 37,female ,2022-11-22_09h37.13.240,onlinegloss,2022.2.3,Win32,60.30635629,,,,,,,,,37,10,space,8.851900001,32,8.1074,,,,,,65,0,22,22,65,1,,
