button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[22.391000000000002],[22.391000000000002],593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,space,3.661,,,,,,,,,,,,,,,,,,,,,,,,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,49.8,43,,,,,,,,,,,,,,,,,,,,,,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,space,8.638,,,,,,,,,,,,,,,,,,,,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,space,8.001,,,,,,,,,,,,,,,,,,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,43,54,space,10.627,33,9.565,0,0,0,0,1,101,,,,,,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,51,54,space,4.236,24,4.052,0,1,1,1,1,102,,,,,,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,27,54,space,3.787,17,3.449,,,,,,43,0,0,0,43,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,31,54,space,3.804,20,3.605,,,,,,68,0,1,1,68,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,44,54,space,5.213,31,5.088,,,,,,54,0,2,2,54,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,45,54,space,4.773,6,4.587,,,,,,1,0,3,3,1,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,36,54,space,7.447,20,7.006,,,,,,32,0,4,4,32,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,30,54,space,3.146,3,2.437,,,,,,27,0,5,5,27,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,49,54,space,3.622,7,3.404,,,,,,73,0,6,6,73,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,51,54,space,2.924,12,2.772,,,,,,56,0,7,7,56,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,36,54,space,2.664,15,2.492,,,,,,76,0,8,8,76,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,39,54,space,2.194,12,1.971,,,,,,7,0,9,9,7,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,32,54,space,4.211,19,4.022,,,,,,80,0,10,10,80,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,32,54,space,5.912,26,5.738,,,,,,13,0,11,11,13,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,35,54,space,5.205,19,4.755,,,,,,64,0,12,12,64,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,38,54,space,7.575,1,4.86,,,,,,71,0,13,13,71,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,50,54,space,5.827,6,5.589,,,,,,4,0,14,14,4,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,49,54,space,3.324,6,3.205,,,,,,5,0,15,15,5,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,27,54,space,2.008,32,1.905,,,,,,26,0,16,16,26,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,28,54,space,5.189,20,5.004,,,,,,81,0,17,17,81,1,,
,,,593,59ada0805ea0f30001281732,34,female,2022-11-22_14h51.13.962,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,35,54,space,5.61,19,5.389,,,,,,24,0,18,18,24,1,,
