button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.720499999999994],[5.720599999904628],921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,space,4.6891,,,,,,,,,,,,,,,,,,,,,,,,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,52.2,44.3,,,,,,,,,,,,,,,,,,,,,,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,space,8.5091,,,,,,,,,,,,,,,,,,,,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,space,9.8028,,,,,,,,,,,,,,,,,,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,33,4,space,5.3313,26,5.0925,0,0,0,0,1,101,,,,,,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,36,4,space,7.3131,27,6.7879,0,1,1,1,1,102,,,,,,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,46,4,space,5.2184,6,5.0597,,,,,,27,0,0,0,27,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,33,4,space,4.076,7,3.9611,,,,,,71,0,1,1,71,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,30,4,space,4.0007,22,3.9093,,,,,,72,0,2,2,72,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,43,4,space,2.3578,8,1.8225,,,,,,55,0,3,3,55,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,52,4,space,4.6843,26,4.0737,,,,,,47,0,4,4,47,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,30,4,space,2.3479,1,2.0879,,,,,,25,0,5,5,25,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,37,4,space,2.9112,20,2.4048,,,,,,82,0,6,6,82,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,30,4,space,2.3165,12,1.9911,,,,,,64,0,7,7,64,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,50,4,space,2.045,16,1.6278,,,,,,21,0,8,8,21,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,46,4,space,2.1755,2,1.8368,,,,,,23,0,9,9,23,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,42,4,space,1.9004,7,1.6542,,,,,,8,0,10,10,8,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,44,4,space,2.1653,11,1.7927,,,,,,24,0,11,11,24,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,46,4,space,2.4475,3,1.8903,,,,,,44,0,12,12,44,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,31,4,space,2.2336,5,1.9572,,,,,,26,0,13,13,26,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,37,4,space,3.7555,28,3.519,,,,,,74,0,14,14,74,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,26,4,space,3.1257,35,2.968,,,,,,14,0,15,15,14,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,37,4,space,2.5966,3,2.3214,,,,,,38,0,16,16,38,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,36,4,space,2.2868,32,1.8767,,,,,,33,0,17,17,33,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,42,4,space,2.9283,33,2.0508,,,,,,18,0,18,18,18,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,31,4,space,2.2223,15,1.631,,,,,,67,0,19,19,67,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,46,4,space,5.6442,9,5.341,,,,,,59,0,20,20,59,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,37,4,space,4.8385,47,4.7533,,,,,,84,0,21,21,84,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,36,4,space,2.3867,5,1.798,,,,,,31,0,22,22,31,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,26,4,space,3.5314,46,1.9048,,,,,,34,0,23,23,34,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,51,4,space,5.1785,39,4.9863,,,,,,46,0,24,24,46,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,27,4,space,1.7269,4,1.5093,,,,,,15,0,25,25,15,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,48,4,space,4.1386,32,3.8617,,,,,,69,0,26,26,69,1,,
,,,921,59e8a35a0fb3a90001bd999c,23,Male,2022-11-22_17h18.38.186,onlinegloss,2022.2.3,Win32,60.07449237,,,,,,,,,27,4,space,2.5584,18,2.4046,,,,,,16,0,27,27,16,1,,
