button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[19.886500000000005],[19.886699999999728],100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,space,4.9102,,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,48.8,49,,,,,,,,,,,,,,,,,,,,,,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,space,10.7251,,,,,,,,,,,,,,,,,,,,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,space,4.1205,,,,,,,,,,,,,,,,,,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,41,47,space,17.5264,18,15.708,0,0,0,0,1,101,,,,,,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,27,47,space,14.7136,23,13.5002,0,1,1,1,1,102,,,,,,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,40,47,space,5.0564,1,4.3271,,,,,,4,0,0,0,4,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,34,47,space,6.5787,9,5.7879,,,,,,43,0,1,1,43,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,48,47,space,10.6927,42,9.4299,,,,,,45,0,2,2,45,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,46,47,space,5.1546,1,4.7805,,,,,,47,0,3,3,47,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,37,47,space,7.7474,18,5.8382,,,,,,78,0,4,4,78,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,29,47,space,5.3334,11,3.6991,,,,,,11,0,5,5,11,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,35,47,space,10.7032,4,10.2485,,,,,,36,0,6,6,36,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,47,47,space,4.3729,4,3.9789,,,,,,49,0,7,7,49,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,30,47,space,15.1518,29,14.5539,,,,,,17,0,8,8,17,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,29,47,space,4.4476,33,3.5308,,,,,,51,0,9,9,51,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,40,47,space,7.302,11,6.7158,,,,,,68,0,10,10,68,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,45,47,space,6.3925,17,4.8812,,,,,,42,0,11,11,42,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,47,47,space,3.2379,2,2.409,,,,,,79,0,12,12,79,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,43,47,space,8.1983,16,5.5758,,,,,,56,0,13,13,56,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,27,47,space,4.514,31,4.1587,,,,,,52,0,14,14,52,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,30,47,space,6.5607,16,6.2077,,,,,,34,0,15,15,34,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,33,47,space,5.2921,1,3.6068,,,,,,21,0,16,16,21,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,50,47,space,6.0027,16,5.8044,,,,,,80,0,17,17,80,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,42,47,space,4.1867,1,3.3865,,,,,,59,0,18,18,59,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,31,47,space,4.686,21,4.0785,,,,,,74,0,19,19,74,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,46,47,space,3.9447,2,2.3582,,,,,,55,0,20,20,55,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,35,47,space,6.3495,10,4.944,,,,,,63,0,21,21,63,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,42,47,space,9.8815,8,9.1839,,,,,,50,0,22,22,50,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,32,47,space,5.318,15,2.7432,,,,,,26,0,23,23,26,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,40,47,space,5.3127,14,4.6654,,,,,,62,0,24,24,62,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,33,47,space,3.8639,2,1.9336,,,,,,13,0,25,25,13,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,31,47,space,4.5005,2,3.5943,,,,,,2,0,26,26,2,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,26,47,space,7.8661,1,7.0252,,,,,,82,0,27,27,82,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,35,47,space,21.1161,29,17.1303,,,,,,18,0,28,28,18,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,37,47,space,22.2007,2,21.3402,,,,,,41,0,29,29,41,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,51,47,space,14.9086,27,14.1087,,,,,,1,0,30,30,1,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,34,47,space,2.9438,31,2.055,,,,,,29,0,31,31,29,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,36,47,space,6.7527,27,6.2268,,,,,,30,0,32,32,30,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,50,47,space,33.5135,9,32.6955,,,,,,22,0,33,33,22,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,42,47,space,5.7554,2,3.8114,,,,,,31,0,34,34,31,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,30,47,space,5.1563,2,4.4052,,,,,,9,0,35,35,9,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,43,47,space,3.1974,2,2.6455,,,,,,75,0,36,36,75,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,49,47,space,2.153,1,1.7808,,,,,,64,0,37,37,64,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,36,47,space,2.4849,1,2.1143,,,,,,25,0,38,38,25,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,34,47,space,2.5121,2,2.18,,,,,,60,0,39,39,60,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,26,47,space,7.0945,34,6.0238,,,,,,33,0,40,40,33,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,34,47,space,11.4835,13,10.0375,,,,,,6,0,41,41,6,1,,
,,,100,5c5dbead25ba030001340166,e.g. 3030,Female,2022-11-21_12h55.57.970,onlinegloss,2022.2.3,Linux x86_64,60.0132029,,,,,,,,,40,47,space,21.0758,26,19.5964,,,,,,14,0,42,42,14,1,,
