button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.863299999952318],[12.863299999952318],1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,space,8.4238,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,40.2,40,,,,,,,,,,,,,,,,,,,,,,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,,,space,10.9771,,,,,,,,,,,,,,,,,,,,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,,,,,space,12.856,,,,,,,,,,,,,,,,,,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,,,,,,,34,1,space,22.3967,35,14.3882,0,0,0,0,1,101,,,,,,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,,,,,,,51,1,space,20.8932,23,19.0129,0,1,1,1,1,102,,,,,,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,,,,,,,35,1,space,15.7162,1,9.0211,,,,,,0,0,0,0,0,1,,
,,,1000,5c64059c9dcb0f0001d6cea2,39,male,2022-11-23_11h56.39.317,onlinegloss,2022.2.3,Win32,59.99520038,,,,,,,,,30,1,space,12.4296,11,9.8819,,,,,,44,0,1,1,44,1,,
