button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.073600000023841],[8.073700000047683],187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,space,6.9121,,,,,,,,,,,,,,,,,,,,,,,,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,38.9,39.8,,,,,,,,,,,,,,,,,,,,,,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,,,space,94.7853,,,,,,,,,,,,,,,,,,,,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,,,,,space,16.6925,,,,,,,,,,,,,,,,,,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,,,,,,,47,26,space,22.1863,26,17.9469,0,0,0,0,1,101,,,,,,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,,,,,,,43,26,space,10.5921,,,0,1,1,1,1,102,,,,,,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,,,,,,,39,26,space,10.1045,18,9.1314,,,,,,16,0,0,0,16,1,,
,,,187,5c792f16477abb00178f871e,43,female,2022-11-22_09h26.19.686,onlinegloss,2022.2.3,Win32,59.56635692,,,,,,,,,31,26,space,20.2754,10,19.2777,,,,,,65,0,1,1,65,1,,
