button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.049700000047686],[7.049799999952317],682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,space,4.6157,,,,,,,,,,,,,,,,,,,,,,,,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,41.6,41.4,,,,,,,,,,,,,,,,,,,,,,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,space,21.2328,,,,,,,,,,,,,,,,,,,,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,,,space,3.2967,,,,,,,,,,,,,,,,,,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,,,,,35,35,space,15.024,29,14.0619,0,0,0,0,1,101,,,,,,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,,,,,34,35,space,8.3456,47,7.4317,0,1,1,1,1,102,,,,,,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,,,,,31,35,space,14.4616,4,12.9097,,,,,,35,0,0,0,35,1,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,,,,,40,35,space,8.0313,17,6.8146,,,,,,41,0,1,1,41,1,,
,,,682,5ce8ebe9c9379d0019898681,37,female ,2022-11-22_15h46.25.286,onlinegloss,2022.2.3,Win32,59.74072525,,,,,,,,,28,35,space,5.9143,43,3.9802,,,,,,17,0,2,2,17,1,,
