button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.92580000001192],[1.92580000001192],580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,space,3.6988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,48.5,49.4,,,,,,,,,,,,,,,,,,,,,,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,space,8.257,,,,,,,,,,,,,,,,,,,,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,space,2.754,,,,,,,,,,,,,,,,,,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,39,41,space,9.4532,37,9.2344,0,0,0,0,1,101,,,,,,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,31,41,space,4.2128,36,3.9116,0,1,1,1,1,102,,,,,,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,29,41,space,3.0534,26,2.1258,,,,,,21,0,0,0,21,1,,
,,,580,5d53ece21e9091000105526a,28,female,2022-11-22_14h50.05.491,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,44,41,space,2.6305,8,2.294,,,,,,32,0,1,1,32,1,,
