button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.941099999904637],[7.941199999928479],375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,space,5.2238,,,,,,,,,,,,,,,,,,,,,,,,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,43.4,40,,,,,,,,,,,,,,,,,,,,,,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,,,space,8.6921,,,,,,,,,,,,,,,,,,,,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,,,,,space,7.0052,,,,,,,,,,,,,,,,,,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,,,,,,,32,52,space,11.5641,11,11.006,0,0,0,0,1,101,,,,,,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,,,,,,,43,52,space,11.1759,25,10.8138,0,1,1,1,1,102,,,,,,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,,,,,,,41,52,space,4.3528,7,3.1348,,,,,,24,0,0,0,24,1,,
,,,375,5d54219aa85e7e0019011a86,31,female,2022-11-22_09h40.23.822,onlinegloss,2022.2.3,Win32,60.22282445,,,,,,,,,33,52,space,6.9388,14,6.6493,,,,,,20,0,1,1,20,1,,
