button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.182399999998513],[6.182500000000001],453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,space,3.8013,,,,,,,,,,,,,,,,,,,,,,,,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,41.7,41.6,,,,,,,,,,,,,,,,,,,,,,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,space,9.9503,,,,,,,,,,,,,,,,,,,,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,space,14.9025,,,,,,,,,,,,,,,,,,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,31.8491,26,30.9269,0,0,0,0,1,101,,,,,,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,27,22,space,10.6995,40,10.2128,0,1,1,1,1,102,,,,,,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,35,22,space,6.4648,1,5.7584,,,,,,76,0,0,0,76,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,7.2764,8,6.4137,,,,,,10,0,1,1,10,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,41,22,space,6.2205,18,5.9306,,,,,,58,0,2,2,58,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,26,22,space,3.8041,1,3.0895,,,,,,64,0,3,3,64,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,37,22,space,4.0913,1,3.4672,,,,,,51,0,4,4,51,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,30,22,space,6.0056,6,5.4975,,,,,,9,0,5,5,9,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,32,22,space,3.4221,10,2.9469,,,,,,60,0,6,6,60,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,33,22,space,3.6034,15,3.181,,,,,,24,0,7,7,24,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,47,22,space,7.4049,8,6.9159,,,,,,27,0,8,8,27,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,28,22,space,4.9229,17,4.5504,,,,,,46,0,9,9,46,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,33,22,space,4.2551,6,4.0505,,,,,,21,0,10,10,21,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,50,22,space,2.1463,1,1.851,,,,,,41,0,11,11,41,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,4.9367,1,4.4711,,,,,,69,0,12,12,69,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,33,22,space,5.1573,27,4.4012,,,,,,70,0,13,13,70,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,32,22,space,5.5328,15,5.0974,,,,,,80,0,14,14,80,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,33,22,space,4.8026,13,4.399,,,,,,5,0,15,15,5,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,2.9697,1,2.7301,,,,,,54,0,16,16,54,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,35,22,space,4.6897,13,3.4165,,,,,,78,0,17,17,78,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,45,22,space,1.9385,1,1.6846,,,,,,12,0,18,18,12,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,50,22,space,8.4624,25,7.7498,,,,,,82,0,19,19,82,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,32,22,space,7.1553,15,6.6332,,,,,,8,0,20,20,8,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,40,22,space,5.8885,2,5.315,,,,,,65,0,21,21,65,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,47,22,space,4.2326,47,3.7825,,,,,,84,0,22,22,84,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,47,22,space,4.4582,16,4.2516,,,,,,11,0,23,23,11,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,4.2004,41,3.4308,,,,,,49,0,24,24,49,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,41,22,space,3.8765,16,3.6041,,,,,,67,0,25,25,67,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,38,22,space,2.592,1,1.8163,,,,,,37,0,26,26,37,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,34,22,space,3.6778,10,3.2257,,,,,,53,0,27,27,53,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,48,22,space,2.7103,3,2.4366,,,,,,18,0,28,28,18,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,46,22,space,3.7086,9,2.5846,,,,,,20,0,29,29,20,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,39,22,space,1.8668,1,1.6815,,,,,,47,0,30,30,47,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,38,22,space,3.4079,1,3.1424,,,,,,13,0,31,31,13,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,42,22,space,2.1234,14,1.8857,,,,,,42,0,32,32,42,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,2.6714,21,1.931,,,,,,26,0,33,33,26,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,35,22,space,2.484,33,2.2141,,,,,,30,0,34,34,30,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,48,22,space,2.9723,25,2.7465,,,,,,34,0,35,35,34,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,48,22,space,3.9064,16,3.4142,,,,,,39,0,36,36,39,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,29,22,space,7.9365,9,7.6221,,,,,,52,0,37,37,52,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,50,22,space,4.4189,16,4.1306,,,,,,14,0,38,38,14,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,32,22,space,4.4869,3,3.9146,,,,,,72,0,39,39,72,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,1.6719,1,1.4644,,,,,,3,0,40,40,3,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,4.017,33,3.4327,,,,,,19,0,41,41,19,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,33,22,space,8.5958,1,6.2991,,,,,,0,0,42,42,0,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,50,22,space,5.757,41,5.5344,,,,,,77,0,43,43,77,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,36,22,space,2.4395,1,2.0641,,,,,,75,0,44,44,75,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,39,22,space,4.9736,2,4.1157,,,,,,79,0,45,45,79,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,47,22,space,3.7561,17,3.2672,,,,,,16,0,46,46,16,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,47,22,space,2.3369,1,2.1141,,,,,,4,0,47,47,4,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,27,22,space,8.6381,23,8.264,,,,,,23,0,48,48,23,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,28,22,space,3.41,28,3.2158,,,,,,57,0,49,49,57,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,33,22,space,3.572,37,3.2843,,,,,,15,0,50,50,15,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,38,22,space,2.8374,1,2.6542,,,,,,66,0,51,51,66,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,31,22,space,4.5554,42,4.0675,,,,,,50,0,52,52,50,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,44,22,space,3.6629,35,2.9553,,,,,,28,0,53,53,28,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,6.0899,15,5.8512,,,,,,17,0,54,54,17,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,42,22,space,4.7866,27,4.5141,,,,,,48,0,55,55,48,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,28,22,space,3.9729,36,3.7978,,,,,,25,0,56,56,25,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,34,22,space,2.1364,45,1.9479,,,,,,6,0,57,57,6,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,52,22,space,2.313,28,1.9159,,,,,,40,0,58,58,40,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,47,22,space,5.3412,12,5.0346,,,,,,7,0,59,59,7,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,39,22,space,4.1073,43,3.4672,,,,,,55,0,60,60,55,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,30,22,space,4.3241,20,4.1,,,,,,31,0,61,61,31,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,39,22,space,4.3898,37,3.7478,,,,,,83,0,62,62,83,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,49,22,space,2.4384,4,2.1396,,,,,,29,0,63,63,29,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,32,22,space,2.0838,48,1.8141,,,,,,44,0,64,64,44,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,30,22,space,2.7192,36,2.5066,,,,,,71,0,65,65,71,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,36,22,space,3.3401,40,3.1181,,,,,,62,0,66,66,62,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,51,22,space,2.7697,50,2.2807,,,,,,74,0,67,67,74,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,40,22,space,2.3108,44,2.1498,,,,,,63,0,68,68,63,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,39,22,space,3.4074,31,3.0009,,,,,,1,0,69,69,1,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,35,22,space,2.9199,37,2.6141,,,,,,2,0,70,70,2,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,34,22,space,4.3053,29,4.064,,,,,,36,0,71,71,36,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,34,22,space,3.2636,24,2.7999,,,,,,22,0,72,72,22,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,29,22,space,3.5907,14,3.3353,,,,,,35,0,73,73,35,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,27,22,space,2.5508,24,2.2973,,,,,,81,0,74,74,81,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,39,22,space,3.6971,10,3.4653,,,,,,73,0,75,75,73,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,30,22,space,2.3039,17,2.1277,,,,,,45,0,76,76,45,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,31,22,space,3.6733,26,3.4343,,,,,,68,0,77,77,68,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,46,22,space,3.105,4,2.9229,,,,,,61,0,78,78,61,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,31,22,space,2.6025,11,2.4124,,,,,,32,0,79,79,32,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,29,22,space,2.1769,24,1.9515,,,,,,33,0,80,80,33,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,47,22,space,4.0604,24,3.8657,,,,,,43,0,81,81,43,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,38,22,space,4.7865,33,4.4057,,,,,,56,0,82,82,56,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,31,22,space,2.9893,16,2.764,,,,,,59,0,83,83,59,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,48,22,space,4.0895,16,1.1831,,,,,,38,0,84,84,38,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,45,22,space,3.1094,49,2.3362,,,,,,19,1,0,85,19,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,31,22,space,2.1708,34,1.5729,,,,,,70,1,1,86,70,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,31,22,space,4.3069,18,3.6177,,,,,,7,1,2,87,7,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,49,22,space,3.9718,15,3.7478,,,,,,17,1,3,88,17,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,36,22,space,2.383,21,2.1308,,,,,,43,1,4,89,43,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,31,22,space,2.8071,3,2.6649,,,,,,65,1,5,90,65,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,39,22,space,2.0064,34,1.8312,,,,,,67,1,6,91,67,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,47,22,space,2.2898,2,2.0639,,,,,,41,1,7,92,41,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,37,22,space,3.8648,5,3.5987,,,,,,28,1,8,93,28,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,42,22,space,1.9077,1,1.5506,,,,,,66,1,9,94,66,1,,
,,,453,5d753206869c8f0001b358dd,38,female,2022-11-22_14h37.19.566,onlinegloss,2022.2.3,Win32,59.81934558,,,,,,,,,28,22,space,2.4895,12,2.0038,,,,,,82,1,10,95,82,1,,
