button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.784799999952316],[6.784799999952316],1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,space,6.6789,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,32.1,31.2,,,,,,,,,,,,,,,,,,,,,,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,space,16.4095,,,,,,,,,,,,,,,,,,,,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,space,29.7584,,,,,,,,,,,,,,,,,,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,33,8,space,11.6382,22,10.1354,0,0,0,0,1,101,,,,,,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,46,8,space,4.3783,25,3.6673,0,1,1,1,1,102,,,,,,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,28,8,space,4.8679,19,4.5068,,,,,,29,0,0,0,29,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,31,8,space,3.8724,16,3.5616,,,,,,82,0,1,1,82,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,29,8,space,3.4286,16,3.2064,,,,,,76,0,2,2,76,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,45,8,space,5.3393,35,4.7883,,,,,,61,0,3,3,61,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,44,8,space,6.0429,2,4.32,,,,,,30,0,4,4,30,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,46,8,space,11.0288,1,9.2018,,,,,,0,0,5,5,0,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,32,8,space,6.6129,1,4.9549,,,,,,34,0,6,6,34,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,49,8,space,4.8742,44,3.909,,,,,,48,0,7,7,48,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,27,8,space,1.9417,,,,,,,,8,0,8,8,8,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,41,8,space,3.95,44,3.6733,,,,,,50,0,9,9,50,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,37,8,space,2.5654,1,2.3195,,,,,,37,0,10,10,37,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,34,8,space,3.4105,2,3.2253,,,,,,32,0,11,11,32,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,34,8,space,1.9797,46,1.6521,,,,,,17,0,12,12,17,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,31,8,space,2.4752,3,2.2654,,,,,,55,0,13,13,55,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,44,8,space,4.1571,29,3.9821,,,,,,39,0,14,14,39,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,51,8,space,1.5408,39,1.331,,,,,,9,0,15,15,9,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,30,8,space,4.3856,4,2.8877,,,,,,67,0,16,16,67,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,34,8,space,3.4582,1,2.8635,,,,,,53,0,17,17,53,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,31,8,space,0.6609,,,,,,,,7,0,18,18,7,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,39,8,space,2.1624,1,1.2668,,,,,,6,0,19,19,6,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,26,8,space,3.1771,26,2.922,,,,,,73,0,20,20,73,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,50,8,space,3.1473,49,2.6517,,,,,,81,0,21,21,81,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,27,8,space,2.5014,50,2.1276,,,,,,2,0,22,22,2,1,,
,,,1122,5dae162804bd9b0016966f8c,56,female,2022-11-23_16h17.19.507,onlinegloss,2022.2.3,Win32,29.66214813,,,,,,,,,40,8,space,3.2319,24,2.8842,,,,,,23,0,23,23,23,1,,
