button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.462999999999994],[12.463099999999628],831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,space,4.9056,,,,,,,,,,,,,,,,,,,,,,,,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,41.2,41.6,,,,,,,,,,,,,,,,,,,,,,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,,,space,22.403,,,,,,,,,,,,,,,,,,,,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,space,38.9656,,,,,,,,,,,,,,,,,,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,48,22,space,17.4424,52,15.0338,0,0,0,0,1,101,,,,,,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,32,22,space,8.4523,16,7.5859,0,1,1,1,1,102,,,,,,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,51,22,space,9.3834,15,8.6596,,,,,,68,0,0,0,68,1,,
,,,831,5e53df2d8b62b33daf126ecd,48,female,2022-11-22_17h11.32.115,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,31,22,space,11.3297,45,9.947,,,,,,2,0,1,1,2,1,,
