button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.827400000095366],[6.827400000095366],355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,space,7.5929,,,,,,,,,,,,,,,,,,,,,,,,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,45,44.6,,,,,,,,,,,,,,,,,,,,,,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,space,7.0638,,,,,,,,,,,,,,,,,,,,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,space,16.1115,,,,,,,,,,,,,,,,,,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,48,32,space,13.4623,18,11.5027,0,0,0,0,1,101,,,,,,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,49,32,space,12.5597,20,12.2748,0,1,1,1,1,102,,,,,,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,28,32,space,9.3982,40,9.1055,,,,,,11,0,0,0,11,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,34,32,space,5.9734,36,5.8126,,,,,,74,0,1,1,74,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,38,32,space,8.7023,21,8.4759,,,,,,6,0,2,2,6,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,33,32,space,8.4683,31,8.3925,,,,,,34,0,3,3,34,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,40,32,space,4.9546,1,3.7074,,,,,,42,0,4,4,42,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,43,32,space,5.2949,1,5.0506,,,,,,10,0,5,5,10,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,37,32,space,3.1496,17,2.9369,,,,,,22,0,6,6,22,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,43,32,space,3.9789,52,3.5353,,,,,,84,0,7,7,84,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,36,32,space,5.0779,37,4.9749,,,,,,56,0,8,8,56,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,51,32,space,6.9335,28,6.9054,,,,,,39,0,9,9,39,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,50,32,space,6.2683,28,5.9687,,,,,,52,0,10,10,52,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,49,32,space,5.704,1,4.8802,,,,,,26,0,11,11,26,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,37,32,space,7.0483,17,6.7758,,,,,,76,0,12,12,76,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,48,32,space,2.8725,1,2.4659,,,,,,75,0,13,13,75,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,50,32,space,6.9119,23,6.5433,,,,,,23,0,14,14,23,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,33,32,space,4.7915,22,4.299,,,,,,1,0,15,15,1,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,27,32,space,2.7577,1,1.6701,,,,,,59,0,16,16,59,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,48,32,space,3.9304,17,3.3013,,,,,,17,0,17,17,17,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,45,32,space,2.7909,1,2.1829,,,,,,41,0,18,18,41,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,30,32,space,4.9011,14,4.7265,,,,,,21,0,19,19,21,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,32,32,space,2.7446,1,2.6006,,,,,,79,0,20,20,79,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,51,32,space,3.984,24,3.747,,,,,,25,0,21,21,25,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,28,32,space,4.8205,33,4.7132,,,,,,77,0,22,22,77,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,39,32,space,2.3863,30,1.7139,,,,,,45,0,23,23,45,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,49,32,space,2.057,1,1.9327,,,,,,44,0,24,24,44,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,43,32,space,4.9353,22,4.3987,,,,,,65,0,25,25,65,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,50,32,space,2.0566,1,1.9846,,,,,,40,0,26,26,40,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,37,32,space,11.1676,28,10.9084,,,,,,9,0,27,27,9,1,,
,,,355,5f43ff27038f80311674da5a,30,female,2022-11-22_09h38.40.356,onlinegloss,2022.2.3,Win32,60.94216588,,,,,,,,,32,32,space,6.8178,30,6.5916,,,,,,78,0,28,28,78,1,,
