button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.7477000000476863],[3.7477000000476863],931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,space,9.1407,,,,,,,,,,,,,,,,,,,,,,,,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,44.4,44,,,,,,,,,,,,,,,,,,,,,,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,space,32.5053,,,,,,,,,,,,,,,,,,,,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,space,32.1782,,,,,,,,,,,,,,,,,,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,37,14,space,38.7764,39,38.4535,0,0,0,0,1,101,,,,,,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,34,14,space,11.7227,21,11.4647,0,1,1,1,1,102,,,,,,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,42,14,space,6.3236,15,5.6418,,,,,,60,0,0,0,60,1,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,39,14,space,9.692,11,9.495,,,,,,17,0,1,1,17,1,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,46,14,space,3.6617,7,1.4928,,,,,,72,0,2,2,72,1,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,50,14,space,6.4668,11,5.7392,,,,,,21,0,3,3,21,1,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,43,14,space,7.5573,13,7.1911,,,,,,53,0,4,4,53,1,,
,,,931,5fad74db5cdcd70beb72b777,37,female ,2022-11-22_17h20.43.359,onlinegloss,2022.2.3,Win32,59.4848611,,,,,,,,,47,14,space,11.5769,17,11.1639,,,,,,71,0,5,5,71,1,,
