button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.771499999999996],[5.771499999999996],850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,space,6.6629,,,,,,,,,,,,,,,,,,,,,,,,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,59.6,54.4,,,,,,,,,,,,,,,,,,,,,,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,space,13.0258,,,,,,,,,,,,,,,,,,,,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,space,33.1501,,,,,,,,,,,,,,,,,,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,50,41,space,13.8961,27,12.4178,0,0,0,0,1,101,,,,,,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,40,41,space,11.7395,46,10.7991,0,1,1,1,1,102,,,,,,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,40,41,space,9.8183,17,8.5787,,,,,,62,0,0,0,62,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,48,41,space,6.1955,8,4.0036,,,,,,76,0,1,1,76,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,39,41,space,8.3132,24,4.6534,,,,,,81,0,2,2,81,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,35,41,space,5.7187,12,4.6202,,,,,,52,0,3,3,52,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,40,41,space,9.0987,9,6.8423,,,,,,69,0,4,4,69,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,52,41,space,12.3697,43,10.0607,,,,,,84,0,5,5,84,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,41,41,space,8.6704,2,7.3259,,,,,,19,0,6,6,19,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,52,41,space,42.7892,5,42.1992,,,,,,37,0,7,7,37,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,35,41,space,11.5967,17,9.2664,,,,,,7,0,8,8,7,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,46,41,space,7.9575,25,5.3251,,,,,,63,0,9,9,63,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,48,41,space,33.1934,21,32.1833,,,,,,15,0,10,10,15,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,48,41,space,7.157,40,5.5573,,,,,,59,0,11,11,59,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,49,41,space,46.9287,31,43.605,,,,,,55,0,12,12,55,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,40,41,space,5.9414,20,3.3958,,,,,,36,0,13,13,36,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,32,41,space,6.7721,27,5.5317,,,,,,34,0,14,14,34,1,,
,,,850,600b5191a434df19524dd1a0,39,male,2022-11-22_17h12.48.893,onlinegloss,2022.2.3,Win32,59.78358343,,,,,,,,,46,41,space,14.067,21,8.3073,,,,,,60,0,15,15,60,1,,
