button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.578399999976156],[5.578499999999998],326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,space,9.4335,,,,,,,,,,,,,,,,,,,,,,,,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,44.8,44.3,,,,,,,,,,,,,,,,,,,,,,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,space,75.2055,,,,,,,,,,,,,,,,,,,,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,space,49.8915,,,,,,,,,,,,,,,,,,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,31,3,space,22.6554,52,21.8622,0,0,0,0,1,101,,,,,,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,50,3,space,7.6597,52,6.8503,0,1,1,1,1,102,,,,,,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,27,3,space,13.0789,41,12.5796,,,,,,17,0,0,0,17,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,44,3,space,8.357,22,7.8489,,,,,,79,0,1,1,79,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,52,3,space,3.8505,52,3.5126,,,,,,39,0,2,2,39,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,28,3,space,5.9152,15,5.5503,,,,,,45,0,3,3,45,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,39,3,space,4.9361,28,4.5043,,,,,,44,0,4,4,44,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,28,3,space,3.3255,40,2.9515,,,,,,83,0,5,5,83,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,42,3,space,2.522,52,2.102,,,,,,8,0,6,6,8,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,33,3,space,2.6867,52,2.3359,,,,,,54,0,7,7,54,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,44,3,space,5.3516,15,5.0406,,,,,,18,0,8,8,18,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,33,3,space,2.4657,1,2.0751,,,,,,65,0,9,9,65,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,47,3,space,2.7861,21,2.5196,,,,,,55,0,10,10,55,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,34,3,space,4.7344,10,4.4742,,,,,,43,0,11,11,43,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,48,3,space,3.6835,29,3.3502,,,,,,52,0,12,12,52,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,42,3,space,2.8816,20,2.6519,,,,,,57,0,13,13,57,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,36,3,space,3.952,26,3.6852,,,,,,82,0,14,14,82,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,47,3,space,1.8371,1,1.5753,,,,,,28,0,15,15,28,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,30,3,space,2.1389,1,1.9033,,,,,,37,0,16,16,37,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,28,3,space,3.5201,52,2.7539,,,,,,84,0,17,17,84,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,29,3,space,2.5677,1,2.2521,,,,,,48,0,18,18,48,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,48,3,space,3.4507,1,2.2214,,,,,,13,0,19,19,13,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,47,3,space,3.9518,13,3.652,,,,,,30,0,20,20,30,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,33,3,space,3.6136,19,3.1926,,,,,,60,0,21,21,60,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,51,3,space,1.8597,1,1.5662,,,,,,5,0,22,22,5,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,51,3,space,3.1114,13,2.8295,,,,,,66,0,23,23,66,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,36,3,space,2.4453,24,2.1981,,,,,,23,0,24,24,23,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,34,3,space,2.6273,11,2.3482,,,,,,67,0,25,25,67,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,39,3,space,3.6622,5,3.081,,,,,,42,0,26,26,42,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,44,3,space,2.1114,8,1.8486,,,,,,73,0,27,27,73,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,50,3,space,4.1254,35,3.8951,,,,,,40,0,28,28,40,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,50,3,space,2.6102,16,2.4641,,,,,,36,0,29,29,36,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,31,3,space,1.9953,52,1.7485,,,,,,33,0,30,30,33,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,31,3,space,3.4446,8,3.1637,,,,,,71,0,31,31,71,1,,
,,,326,6018dd480e26c91eb2d103ac,21,female,2022-11-22_09h36.56.253,onlinegloss,2022.2.3,Win32,60.20469597,,,,,,,,,30,3,space,4.7293,13,4.4145,,,,,,69,0,32,32,69,1,,
