button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.2994000000953676],[2.2994999999999983],80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,space,5.3338,,,,,,,,,,,,,,,,,,,,,,,,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,60,59,,,,,,,,,,,,,,,,,,,,,,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,space,23.9449,,,,,,,,,,,,,,,,,,,,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,space,2.0194,,,,,,,,,,,,,,,,,,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,50,27,space,15.8066,23,13.4532,0,0,0,0,1,101,,,,,,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,37,27,space,18.8772,12,17.9082,0,1,1,1,1,102,,,,,,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,46,27,space,8.4865,1,6.6905,,,,,,52,0,0,0,52,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,34,27,space,8.582,18,6.7381,,,,,,44,0,1,1,44,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,40,27,space,8.3582,9,6.089,,,,,,15,0,2,2,15,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,30,27,space,6.0408,3,3.9745,,,,,,8,0,3,3,8,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,42,27,space,5.3318,7,4.669,,,,,,24,0,4,4,24,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,35,27,space,8.7674,10,7.4696,,,,,,72,0,5,5,72,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,46,27,space,9.6058,5,7.7539,,,,,,17,0,6,6,17,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,34,27,space,9.5558,22,7.237,,,,,,65,0,7,7,65,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,30,27,space,7.308,39,6.2349,,,,,,67,0,8,8,67,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,45,27,space,4.2912,9,2.3811,,,,,,28,0,9,9,28,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,44,27,space,5.2047,18,3.6186,,,,,,29,0,10,10,29,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,44,27,space,8.4275,9,7.5917,,,,,,9,0,11,11,9,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,43,27,space,14.0608,16,12.3743,,,,,,66,0,12,12,66,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,46,27,space,4.7061,8,3.1709,,,,,,33,0,13,13,33,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,33,27,space,6.4966,17,5.6387,,,,,,16,0,14,14,16,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,36,27,space,12.006,16,10.6072,,,,,,11,0,15,15,11,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,29,27,space,4.5231,7,3.7888,,,,,,13,0,16,16,13,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,45,27,space,3.5113,4,2.0401,,,,,,79,0,17,17,79,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,45,27,space,4.049,4,2.6178,,,,,,61,0,18,18,61,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,50,27,space,3.9086,12,3.5021,,,,,,18,0,19,19,18,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,45,27,space,7.5916,1,4.928,,,,,,0,0,20,20,0,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,27,27,space,4.0394,3,2.0044,,,,,,50,0,21,21,50,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,35,27,space,4.8561,6,2.2753,,,,,,56,0,22,22,56,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,39,27,space,5.8488,24,5.6891,,,,,,23,0,23,23,23,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,36,27,space,6.4987,21,6.2277,,,,,,3,0,24,24,3,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,41,27,space,3.9915,36,1.9861,,,,,,84,0,25,25,84,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,26,27,space,2.9616,,,,,,,,70,0,26,26,70,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,44,27,space,8.4156,17,7.515,,,,,,43,0,27,27,43,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,48,27,space,8.6014,13,7.1202,,,,,,38,0,28,28,38,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,34,27,space,6.0741,17,4.7885,,,,,,62,0,29,29,62,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,49,27,space,3.8762,7,3.2862,,,,,,41,0,30,30,41,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,37,27,space,6.5742,43,5.8701,,,,,,2,0,31,31,2,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,52,27,space,1.5098,,,,,,,,49,0,32,32,49,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,42,27,space,5.4466,36,3.2202,,,,,,48,0,33,33,48,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,34,27,space,3.3781,46,2.8749,,,,,,53,0,34,34,53,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,43,27,space,6.727,16,6.1719,,,,,,34,0,35,35,34,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,34,27,space,5.5759,32,2.9394,,,,,,73,0,36,36,73,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,45,27,space,3.8556,4,3.5888,,,,,,59,0,37,37,59,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,31,27,space,6.4982,37,5.6966,,,,,,74,0,38,38,74,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,45,27,space,5.2882,11,4.1727,,,,,,57,0,39,39,57,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,48,27,space,6.5222,7,5.2633,,,,,,14,0,40,40,14,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,35,27,space,4.1599,48,2.9936,,,,,,6,0,41,41,6,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,26,27,space,3.9708,12,2.1382,,,,,,39,0,42,42,39,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,50,27,space,5.4534,7,4.6731,,,,,,4,0,43,43,4,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,28,27,space,6.5729,21,6.107,,,,,,82,0,44,44,82,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,41,27,space,3.7203,16,3.0066,,,,,,45,0,45,45,45,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,40,27,space,5.439,12,4.8628,,,,,,7,0,46,46,7,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,41,27,space,7.6191,31,6.5034,,,,,,60,0,47,47,60,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,51,27,space,6.0878,1,5.6248,,,,,,10,0,48,48,10,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,51,27,space,6.5695,14,6.425,,,,,,76,0,49,49,76,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,46,27,space,3.454,47,2.1544,,,,,,51,0,50,50,51,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,39,27,space,6.2808,19,5.4655,,,,,,37,0,51,51,37,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,36,27,space,4.5778,23,4.3186,,,,,,22,0,52,52,22,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,39,27,space,5.742,33,3.1052,,,,,,21,0,53,53,21,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,38,27,space,2.4641,6,1.6698,,,,,,26,0,54,54,26,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,50,27,space,2.1194,39,1.5947,,,,,,19,0,55,55,19,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,42,27,space,2.6068,31,2.2195,,,,,,78,0,56,56,78,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,29,27,space,2.7418,30,2.3577,,,,,,1,0,57,57,1,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,38,27,space,2.1498,36,1.4707,,,,,,83,0,58,58,83,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,33,27,space,1.9961,8,1.5225,,,,,,55,0,59,59,55,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,30,27,space,1.92,8,1.5219,,,,,,25,0,60,60,25,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,37,27,space,2.206,4,1.6067,,,,,,46,0,61,61,46,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,49,27,space,3.5614,14,3.3238,,,,,,54,0,62,62,54,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,35,27,space,2.5133,33,1.7711,,,,,,69,0,63,63,69,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,49,27,space,3.9512,13,3.7396,,,,,,58,0,64,64,58,1,,
,,,80,609bfd77f8b7b47117969b3c,e.g. 302,female or male,2022-11-21_05h51.53.872,onlinegloss,2022.2.3,Win32,59.81576744,,,,,,,,,33,27,space,1.7987,2,1.5285,,,,,,64,0,65,65,64,1,,
