button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.441700000000186],[7.441800000000278],680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,space,1.6001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,49.7,48.8,,,,,,,,,,,,,,,,,,,,,,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,space,9.5524,,,,,,,,,,,,,,,,,,,,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,space,3.6982,,,,,,,,,,,,,,,,,,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,33,33,space,10.3467,30,9.2417,0,0,0,0,1,101,,,,,,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,40,33,space,14.7364,16,14.3203,0,1,1,1,1,102,,,,,,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,45,33,space,12.6687,23,12.3472,,,,,,64,0,0,0,64,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,31,33,space,7.5376,20,7.3178,,,,,,70,0,1,1,70,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,38,33,space,5.7745,4,5.5193,,,,,,66,0,2,2,66,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,48,33,space,8.6393,6,8.3999,,,,,,79,0,3,3,79,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,36,33,space,11.585,,,,,,,,27,0,4,4,27,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,41,33,space,6.8729,28,6.3695,,,,,,81,0,5,5,81,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,44,33,space,7.8258,1,6.952,,,,,,0,0,6,6,0,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,28,33,space,6.9589,25,6.502,,,,,,13,0,7,7,13,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,40,33,space,5.3567,39,5.1529,,,,,,71,0,8,8,71,1,,
,,,680,62c428077a100bb125ebb569,44,male,2022-11-22_15h45.40.612,onlinegloss,2022.2.3,Win32,60.86797736,,,,,,,,,42,33,space,4.7668,26,4.6066,,,,,,38,0,9,9,38,1,,
