button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.784699999988078],[4.785],62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,space,1.5449,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,61.5,56,,,,,,,,,,,,,,,,,,,,,,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,space,8.735,,,,,,,,,,,,,,,,,,,,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,space,8.5728,,,,,,,,,,,,,,,,,,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,36,9,space,11.6572,47,11.225,0,0,0,0,1,101,,,,,,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,35,9,space,10.691,26,9.6829,0,1,1,1,1,102,,,,,,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,51,9,space,6.5846,22,6.0664,,,,,,8,0,0,0,8,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,32,9,space,4.6478,31,3.8351,,,,,,10,0,1,1,10,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,29,9,space,8.139,12,5.603,,,,,,46,0,2,2,46,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,45,9,space,6.5156,7,6.3362,,,,,,23,0,3,3,23,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,29,9,space,5.4349,1,4.9408,,,,,,9,0,4,4,9,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,39,9,space,11.5651,2,11.3207,,,,,,15,0,5,5,15,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,52,9,space,6.6777,12,6.4381,,,,,,44,0,6,6,44,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,43,9,space,5.2095,35,4.3037,,,,,,81,0,7,7,81,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,50,9,space,5.5091,31,5.3042,,,,,,34,0,8,8,34,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,31,9,space,3.307,18,3.0381,,,,,,59,0,9,9,59,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,45,9,space,4.7182,12,3.9043,,,,,,6,0,10,10,6,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,39,9,space,3.7522,16,3.5733,,,,,,30,0,11,11,30,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,40,9,space,2.9529,21,2.6922,,,,,,69,0,12,12,69,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,39,9,space,4.5526,1,4.3763,,,,,,51,0,13,13,51,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,52,9,space,4.6671,15,4.3224,,,,,,83,0,14,14,83,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,48,9,space,3.224,4,2.9881,,,,,,79,0,15,15,79,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,49,9,space,2.0852,12,1.8737,,,,,,26,0,16,16,26,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,49,9,space,10.0848,29,7.319,,,,,,35,0,17,17,35,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,40,9,space,7.2991,38,5.5216,,,,,,37,0,18,18,37,1,,
,,,62,634fa83b105e4e310e67ba11,24,male,2022-11-21_12h39.17.228,onlinegloss,2022.2.3,Win32,59.50964056,,,,,,,,,35,9,space,3.9601,24,3.6886,,,,,,32,0,19,19,32,1,,
