button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.019000000000002],[12.020000000000007],119,noname,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,space,6.738,,,,,,,,,,,,,,,,,,,,,,,,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,46.1,39.8,,,,,,,,,,,,,,,,,,,,,,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,7.405,,,,,,,,,,,,,,,,,,,,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,46.626,,,,,,,,,,,,,,,,,,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,12,space,10.012,42,9.915,0,0,0,0,1,101,,,,,,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,12,space,6.437,40,6.29,0,1,1,1,1,102,,,,,,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,30,12,space,3.306,28,3.068,,,,,,3,0,0,0,3,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,12,space,5.553,9,5.192,,,,,,54,0,1,1,54,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,12,space,5.352,11,5.258,,,,,,7,0,2,2,7,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,12,space,4.754,23,4.722,,,,,,35,0,3,3,35,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,12,space,4.284,5,3.758,,,,,,40,0,4,4,40,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,28,12,space,5.001,9,4.84,,,,,,76,0,5,5,76,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,12,space,3.318,22,3.263,,,,,,66,0,6,6,66,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,26,12,space,6.405,33,6.207,,,,,,34,0,7,7,34,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,30,12,space,4.837,49,4.692,,,,,,67,0,8,8,67,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,26,12,space,3.019,31,2.956,,,,,,78,0,9,9,78,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,12,space,2.345,1,2.226,,,,,,72,0,10,10,72,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,29,12,space,4.254,25,4.19,,,,,,23,0,11,11,23,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,38,12,space,2.287,41,2.224,,,,,,61,0,12,12,61,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,12,space,3.351,8,3.04,,,,,,64,0,13,13,64,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,12,space,3.045,24,2.59,,,,,,80,0,14,14,80,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,12,space,3.267,7,3.122,,,,,,6,0,15,15,6,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,36,12,space,7.087,43,7.057,,,,,,74,0,16,16,74,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,12,space,6.12,19,5.157,,,,,,9,0,17,17,9,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,12,space,4.788,27,3.943,,,,,,68,0,18,18,68,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,12,space,6.752,13,6.773,,,,,,73,0,19,19,73,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,42,12,space,5.305,1,5.189,,,,,,17,0,20,20,17,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,12,space,3.604,37,3.496,,,,,,41,0,21,21,41,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,12,space,3.619,17,3.356,,,,,,58,0,22,22,58,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,12,space,3.971,9,3.943,,,,,,14,0,23,23,14,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,12,space,7.44,25,7.061,,,,,,29,0,24,24,29,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,12,space,3.056,10,2.371,,,,,,75,0,25,25,75,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,30,12,space,1.772,26,1.76,,,,,,50,0,26,26,50,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,12,space,1.976,22,1.923,,,,,,32,0,27,27,32,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,31,12,space,2.753,29,2.457,,,,,,81,0,28,28,81,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,12,space,2.253,20,2.207,,,,,,11,0,29,29,11,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,12,space,1.819,31,1.644,,,,,,60,0,30,30,60,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,12,space,3.251,32,2.756,,,,,,77,0,31,31,77,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,12,space,3.413,7,3.164,,,,,,30,0,32,32,30,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,12,space,3.218,9,3.072,,,,,,42,0,33,33,42,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,12,space,9.081,1,6.341,,,,,,0,0,34,34,0,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,12,space,4.801,17,4.663,,,,,,62,0,35,35,62,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,12,space,2.274,1,2.173,,,,,,51,0,36,36,51,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,12,space,2.237,1,2.129,,,,,,43,0,37,37,43,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,48,12,space,3.193,23,2.894,,,,,,16,0,38,38,16,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,12,space,1.771,16,1.625,,,,,,70,0,39,39,70,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,12,space,3.351,14,3.274,,,,,,39,0,40,40,39,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,12,space,4.869,25,4.478,,,,,,83,0,41,41,83,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,49,12,space,3.872,30,3.779,,,,,,38,0,42,42,38,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,28,12,space,1.957,33,1.909,,,,,,12,0,43,43,12,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,12,space,2.455,19,2.324,,,,,,22,0,44,44,22,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,12,space,3.97,22,3.093,,,,,,24,0,45,45,24,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,12,space,3.64,18,3.579,,,,,,52,0,46,46,52,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,12,space,2.885,44,2.69,,,,,,4,0,47,47,4,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,48,12,space,3.101,40,2.907,,,,,,27,0,48,48,27,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,29,12,space,4.718,24,4.609,,,,,,57,0,49,49,57,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,12,space,4.225,18,4.046,,,,,,55,0,50,50,55,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,12,space,7.121,21,7.023,,,,,,82,0,51,51,82,1,,
,,,119,,e.g. 30,female or male,2022-11-21_13h03.49.734,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,12,space,5.604,40,5.346,,,,,,48,0,52,52,48,1,,
