button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[15.239000000000004],[15.239000000000004],522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,space,24.0983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,40.8,38.8,,,,,,,,,,,,,,,,,,,,,,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,,,space,113.2268,,,,,,,,,,,,,,,,,,,,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,,,,,space,6.7107,,,,,,,,,,,,,,,,,,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,,,,,,,48,37,space,19.6234,52,18.4464,0,0,0,0,1,101,,,,,,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,,,,,,,50,37,space,18.0434,31,17.811,0,1,1,1,1,102,,,,,,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,,,,,,,30,37,space,7.7675,1,7.1313,,,,,,33,0,0,0,33,1,,
,,,522,https://www.dropbox.com/s/w1j87mocxtk8xyv/Information%20for%20participants.docx?dl=0 https://www.dropbox.com/s/7vsib8jkg0l7duu/Informed%20consent%20and%20data%20protection%20information.docx?dl=0,30,male,2022-11-22_14h44.45.426,onlinegloss,2022.2.3,Win32,59.4530321,,,,,,,,,45,37,space,11.0494,8,10.8408,,,,,,29,0,1,1,29,1,,
